vehicle_id,display_name,point_index,soc_percent,charging_power_kw,svg_cx,svg_cy,svg_x_transformed,svg_y_transformed,aria_label,source_type,extraction_timestamp_utc
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,0,10.0,296.2,4.316901408450704,6.0,63.316901408450704,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 10: 296,2",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,1,11.0,296.0,12.950704225352112,6.0,71.95070422535211,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 11: 296,0",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,2,12.0,296.0,21.58450704225352,6.0,80.58450704225352,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 12: 296,0",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,3,13.0,296.0,30.218309859154928,6.0,89.21830985915493,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 13: 296,0",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,4,14.0,296.0,38.852112676056336,6.0,97.85211267605634,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 14: 296,0",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,5,15.0,296.0,47.485915492957744,6.0,106.48591549295774,24.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 15: 296,0",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,6,16.0,293.6,56.11971830985915,9.0,115.11971830985915,27.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 16: 293,6",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,7,17.0,291.7,64.75352112676056,12.0,123.75352112676056,30.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 17: 291,7",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,8,18.0,288.9,73.38732394366197,16.0,132.38732394366195,34.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 18: 288,9",svg_aria,2026-05-19T08:53:35Z
mercedes_benz_cla_coupe_250_eq_progressive,Mercedes-Benz CLA Coupe 250+ EQ Progressive,9,19.0,286.2,82.02112676056338,20.0,141.0211267605634,38.0,"Mercedes-Benz CLA Coupe 250+ EQ Progressive: 19: 286,2",svg_aria,2026-05-19T08:53:35Z
